Total nacional;Nivel general precios
ene-17;1.6
feb-17;2.1
mar-17;2.4
abr-17;2.7
may-17;1.4
jun-17;1.2
jul-17;1.7
ago-17;1.4
sep-17;1.9
oct-17;1.5
nov-17;1.4
dic-17;3.1
ene-18;1.8
feb-18;2.4
mar-18;2.3
abr-18;2.7
may-18;2.1
jun-18;3.7
jul-18;3.1
ago-18;3.9
sep-18;6.5
oct-18;5.4
nov-18;3.2
dic-18;2.6
ene-19;2.9
feb-19;3.8
mar-19;4.7
abr-19;3.4
may-19;3.1
jun-19;2.7
jul-19;2.2
ago-19;4.0
sep-19;5.9
oct-19;3.3
nov-19;4.3
dic-19;3.7
ene-20;2.3
feb-20;2.0
mar-20;3.3
abr-20;1.5
may-20;1.5
jun-20;2.2
jul-20;1.9
ago-20;2.7
sep-20;2.8
oct-20;3.8
nov-20;3.2
dic-20;4.0
ene-21;4.0
feb-21;3.6
mar-21;4.8
abr-21;4.1
may-21;3.3
jun-21;3.2
jul-21;3.0
ago-21;2.5
sep-21;3.5
oct-21;3.5
nov-21;2.5
dic-21;3.8
ene-22;3.9
feb-22;4.7
mar-22;6.7
abr-22;6.0
may-22;5.1
jun-22;5.3
jul-22;7.4
ago-22;7.0
sep-22;6.2
oct-22;6.3
nov-22;4.9
dic-22;5.1
ene-23;6.0
feb-23;6.6
mar-23;7.7
abr-23;8.4
may-23;7.8
jun-23;6.0
jul-23;6.3
ago-23;12.4
sep-23;12.7
oct-23;8.3
nov-23;12.8
dic-23;25.5
ene-24;20.6
feb-24;13.2
mar-24;11.0
abr-24;8.8
may-24;4.2
jun-24;4.6
jul-24;4.0
ago-24;4.2
sep-24;3.5
oct-24;2.7
nov-24;2.4
dic-24;2.7
ene-25;2.2
feb-25;2.4
mar-25;3.7
abr-25;2.8
may-25;1.5
jun-25;1.6
